Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Type,year,avg_payment,avg_charge,total_srvcs,total_benes,charge_to_payment_ratio
IA,Internal Medicine,2023,55.59,173.45,754624.0,355925,3.12
ID,Cardiology,2022,62.12,223.46,92700.0,78927,3.6
ID,Cardiology,2023,56.91,215.84,100700.0,83537,3.79
ID,Family Practice,2022,54.64,150.88,357014.5,221839,2.76
ID,Family Practice,2023,57.9,161.95,359053.5,215696,2.8
ID,Internal Medicine,2022,68.55,227.95,159680.0,98441,3.33
ID,Internal Medicine,2023,68.71,241.54,167828.0,107638,3.52
IL,Cardiology,2022,79.18,363.58,2076279.6,1387780,4.59
IL,Cardiology,2023,77.02,377.01,2049397.7,1389377,4.89
IL,Family Practice,2022,64.74,179.68,3413354.1,1762967,2.78
IL,Family Practice,2023,68.19,192.85,3493191.3,1691453,2.83
IL,Internal Medicine,2022,72.6,220.75,6124540.0,2666732,3.04
IL,Internal Medicine,2023,74.27,229.1,5574553.0,2580016,3.08
IN,Cardiology,2022,65.93,272.41,1021361.0,781690,4.13
IN,Cardiology,2023,64.62,278.44,967012.0,744418,4.31
IN,Family Practice,2022,56.49,140.11,2109495.7,1214798,2.48
IN,Family Practice,2023,61.34,151.29,2000475.0,1126593,2.47
IN,Internal Medicine,2022,66.3,191.69,2177555.0,986034,2.89
IN,Internal Medicine,2023,69.02,200.34,1919365.0,928586,2.9
KS,Cardiology,2022,77.95,357.97,608920.0,416811,4.59
KS,Cardiology,2023,73.79,333.86,618165.3,421628,4.52
KS,Family Practice,2022,47.12,140.41,1380514.5,781179,2.98
KS,Family Practice,2023,49.43,144.75,1342675.0,766968,2.93
KS,Internal Medicine,2022,60.95,226.65,839707.1,389848,3.72
KS,Internal Medicine,2023,62.54,233.97,905835.0,385679,3.74
KY,Cardiology,2022,63.13,219.69,589157.0,442989,3.48
KY,Cardiology,2023,61.33,218.61,567341.0,427274,3.56
KY,Family Practice,2022,51.43,157.42,1423850.6,758878,3.06
KY,Family Practice,2023,53.87,166.42,1167221.0,663510,3.09
KY,Internal Medicine,2022,61.97,195.87,1865591.0,890378,3.16
KY,Internal Medicine,2023,63.33,202.81,1925853.0,865059,3.2
LA,Cardiology,2022,90.23,389.4,871405.5,542696,4.32
LA,Cardiology,2023,87.96,379.07,815456.0,502568,4.31
LA,Family Practice,2022,52.22,168.12,1552456.6,822083,3.22
LA,Family Practice,2023,52.23,174.26,1435818.9,783082,3.34
LA,Internal Medicine,2022,66.04,225.35,1881904.0,788128,3.41
LA,Internal Medicine,2023,66.17,224.16,1700700.5,755010,3.39
MA,Cardiology,2022,80.98,363.03,1955984.0,1179994,4.48
MA,Cardiology,2023,77.79,368.57,1947419.0,1210825,4.74
MA,Family Practice,2022,56.69,176.7,1168035.5,785731,3.12
