Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Type,avg_charge_2022,avg_charge_2023,avg_payment_2022,avg_payment_2023,total_srvcs_2022,total_srvcs_2023,payment_change_pct,volume_change_pct
MA,Internal Medicine,224.68,240.46,63.87,66.29,4010116.0,3801909.0,3.79,-5.19
MD,Cardiology,357.55,357.54,107.26,103.4,1598763.9,1640341.7,-3.6,2.6
MD,Family Practice,158.95,169.96,61.77,63.17,1527405.0,1415830.0,2.27,-7.3
MD,Internal Medicine,214.9,213.93,74.46,74.6,4277062.2,4442294.0,0.19,3.86
ME,Cardiology,238.75,238.07,55.07,53.85,135366.0,125114.0,-2.22,-7.57
ME,Family Practice,148.38,163.69,48.38,51.01,208617.0,194473.2,5.44,-6.78
ME,Internal Medicine,198.19,207.83,57.88,58.47,296880.0,310839.0,1.02,4.7
MI,Cardiology,270.65,274.84,83.34,79.69,1400490.2,1336192.0,-4.38,-4.59
MI,Family Practice,136.32,143.16,53.01,55.02,2184604.7,2110332.1,3.79,-3.4
MI,Internal Medicine,191.61,198.38,67.89,69.15,3617322.4,3477612.1,1.86,-3.86
MN,Cardiology,393.73,409.98,68.57,67.48,514692.0,542664.0,-1.59,5.43
MN,Family Practice,158.72,172.43,45.4,48.48,1513273.0,1400755.0,6.78,-7.44
MN,Internal Medicine,245.86,259.7,60.23,61.95,1585163.0,1646444.0,2.86,3.87
MO,Cardiology,311.94,293.98,72.41,64.62,914433.0,865026.0,-10.76,-5.4
MO,Family Practice,154.22,163.93,51.23,54.8,1396550.5,1295551.0,6.97,-7.23
MO,Internal Medicine,208.38,214.89,65.4,67.71,2322107.0,2186025.0,3.53,-5.86
MP,Family Practice,270.72,257.21,85.44,82.15,4219.0,4746.0,-3.85,12.49
MP,Internal Medicine,162.85,158.94,61.21,57.82,1642.0,1763.0,-5.54,7.37
MS,Cardiology,430.84,457.72,83.04,87.41,646936.3,694645.0,5.26,7.37
MS,Family Practice,127.88,127.61,42.53,42.53,1698841.9,1552695.0,0.0,-8.6
MS,Internal Medicine,189.95,194.76,55.72,56.95,1640262.0,1653313.0,2.21,0.8
MT,Cardiology,248.1,269.54,66.18,65.57,121827.0,112895.5,-0.92,-7.33
MT,Family Practice,173.63,182.49,56.33,61.94,233999.0,244661.0,9.96,4.56
MT,Internal Medicine,238.04,244.14,67.5,68.63,192122.0,186856.0,1.67,-2.74
NC,Cardiology,328.53,342.6,69.79,68.35,1648932.0,1646012.0,-2.06,-0.18
NC,Family Practice,141.9,153.56,50.21,52.96,3353507.1,3311159.5,5.48,-1.26
NC,Internal Medicine,182.13,189.4,56.32,57.08,5053987.4,4454183.5,1.35,-11.87
ND,Cardiology,365.94,395.63,63.32,67.25,80692.0,81164.0,6.21,0.58
ND,Family Practice,178.71,184.94,51.33,52.99,251150.0,253459.0,3.23,0.92
ND,Internal Medicine,230.01,249.47,61.47,65.99,240005.0,190469.0,7.35,-20.64
NE,Cardiology,260.3,302.98,63.26,63.31,279082.0,266243.0,0.08,-4.6
NE,Family Practice,122.96,141.6,43.29,47.31,1337667.5,1292864.3,9.29,-3.35
NE,Internal Medicine,143.82,150.98,49.68,50.18,1004992.7,1046228.5,1.01,4.1
NH,Cardiology,427.55,451.11,66.9,63.64,232240.0,241057.0,-4.87,3.8
NH,Family Practice,166.7,188.96,55.65,60.74,344490.0,302815.0,9.15,-12.1
NH,Internal Medicine,273.47,299.85,73.96,74.75,338247.0,323912.0,1.07,-4.24
NJ,Cardiology,447.7,459.18,105.9,104.74,2802306.9,2837673.8,-1.1,1.26
NJ,Family Practice,181.37,196.34,64.24,66.54,1867346.8,1841040.5,3.58,-1.41
NJ,Internal Medicine,227.84,243.05,73.71,75.61,5700852.6,6130365.0,2.58,7.53
NM,Cardiology,289.27,325.94,71.83,74.72,162050.0,156217.0,4.02,-3.6
NM,Family Practice,192.05,197.28,56.79,58.99,394461.0,368948.0,3.87,-6.47
NM,Internal Medicine,230.69,242.08,68.0,69.47,680948.0,637472.0,2.16,-6.38
NV,Cardiology,499.16,475.11,131.08,119.4,576006.0,581063.0,-8.91,0.88
NV,Family Practice,194.02,203.85,66.15,67.02,465154.0,460518.0,1.32,-1.0
NV,Internal Medicine,284.03,283.9,80.54,81.2,1198342.0,1241604.0,0.82,3.61
NY,Cardiology,473.72,497.17,100.42,98.63,5414216.0,5515888.7,-1.78,1.88
NY,Family Practice,171.34,179.76,58.43,59.93,4089200.5,5009839.5,2.57,22.51
NY,Internal Medicine,233.34,243.78,69.74,71.6,11762128.2,11590179.0,2.67,-1.46
OH,Cardiology,267.29,279.34,66.17,62.13,1457991.9,1468402.6,-6.11,0.71
OH,Family Practice,140.81,151.21,52.63,55.95,2715887.4,2541760.9,6.31,-6.41
OH,Internal Medicine,203.12,216.5,64.31,65.6,3656639.5,3335079.0,2.01,-8.79
OK,Cardiology,246.44,245.32,62.72,61.05,455302.0,449617.0,-2.66,-1.25
OK,Family Practice,158.3,163.89,50.41,53.01,2056184.2,1850667.0,5.16,-10.0
OK,Internal Medicine,225.14,234.67,64.34,65.87,1040856.0,928926.9,2.38,-10.75
OR,Cardiology,297.92,299.7,68.11,66.1,310219.0,300392.0,-2.95,-3.17
OR,Family Practice,168.76,189.97,47.93,53.47,730165.5,684306.0,11.56,-6.28
OR,Internal Medicine,228.04,243.85,59.91,63.42,1327034.0,1474865.0,5.86,11.14
PA,Cardiology,321.15,322.2,83.72,81.31,2346258.0,2390355.0,-2.88,1.88
PA,Family Practice,160.13,172.19,64.62,67.98,3965640.6,3703600.2,5.2,-6.61
PA,Internal Medicine,224.09,234.48,75.6,77.15,3943250.0,4075862.0,2.05,3.36
PR,Cardiology,130.48,126.79,72.85,71.77,58397.0,53370.8,-1.48,-8.61
PR,Family Practice,140.93,150.94,59.54,57.85,17273.0,14544.0,-2.84,-15.8
PR,Internal Medicine,146.64,151.41,67.77,68.51,83962.0,70288.0,1.09,-16.29
RI,Cardiology,303.34,311.93,78.23,78.21,176764.0,167409.0,-0.03,-5.29
RI,Family Practice,174.52,177.28,57.05,53.49,83776.0,87966.0,-6.24,5.0
RI,Internal Medicine,201.35,203.96,65.91,64.88,310998.0,313214.0,-1.56,0.71
SC,Cardiology,364.25,395.29,78.13,73.64,1033386.1,1020124.0,-5.75,-1.28
SC,Family Practice,151.14,159.85,50.93,53.42,3329944.7,3246145.1,4.89,-2.52
SC,Internal Medicine,207.6,212.07,62.42,63.05,2163475.5,2186874.0,1.01,1.08
SD,Cardiology,225.17,216.25,53.58,54.74,72648.0,88737.0,2.16,22.15
SD,Family Practice,130.0,143.22,47.26,50.31,379900.0,391686.0,6.45,3.1
SD,Internal Medicine,162.69,159.89,58.47,58.13,250584.5,317585.0,-0.58,26.74
TN,Cardiology,325.06,306.15,78.78,72.74,1325942.0,1339775.0,-7.67,1.04
TN,Family Practice,128.37,133.77,43.22,44.25,2960797.1,2679904.5,2.38,-9.49
TN,Internal Medicine,168.05,176.36,51.25,51.65,4050464.5,3734339.5,0.78,-7.8
TX,Cardiology,446.94,455.4,107.09,106.14,4073443.7,4051244.6,-0.89,-0.54
TX,Family Practice,167.16,174.57,53.1,54.44,7687183.1,7466999.9,2.52,-2.86
TX,Internal Medicine,229.22,235.39,65.98,66.89,10103299.2,10304623.0,1.38,1.99
UT,Cardiology,306.92,305.75,85.39,78.49,179236.0,189010.0,-8.08,5.45
UT,Family Practice,114.5,119.64,47.67,50.21,710708.5,651888.5,5.33,-8.28
UT,Internal Medicine,180.21,184.46,60.62,62.46,632712.0,731155.0,3.04,15.56
VA,Cardiology,299.57,324.54,87.77,91.21,1365800.0,1439044.0,3.92,5.36
VA,Family Practice,132.75,140.8,53.7,56.16,3125308.0,3147436.3,4.58,0.71
VA,Internal Medicine,204.41,210.19,67.97,68.84,3523187.5,3495032.0,1.28,-0.8
VI,Cardiology,98.54,123.95,57.26,71.22,7401.0,7599.0,24.38,2.68
VI,Family Practice,138.89,173.44,46.57,54.18,7398.0,8484.0,16.34,14.68
VI,Internal Medicine,164.62,280.37,59.99,72.2,18929.0,13650.0,20.35,-27.89
VT,Cardiology,308.43,330.96,61.89,60.05,65722.0,60145.0,-2.97,-8.49
VT,Family Practice,116.91,132.53,47.17,52.04,147915.2,131016.0,10.32,-11.42
VT,Internal Medicine,258.0,273.21,67.5,68.43,116992.0,107609.0,1.38,-8.02
WA,Cardiology,258.31,268.17,69.37,69.54,632060.0,627158.0,0.25,-0.78
WA,Family Practice,165.11,184.48,55.45,60.03,1322999.5,1238027.0,8.26,-6.42
WA,Internal Medicine,229.51,246.25,69.03,72.23,1516976.0,1426580.0,4.64,-5.96
WI,Cardiology,613.07,647.5,60.13,61.02,578771.0,576153.5,1.48,-0.45
WI,Family Practice,213.6,236.81,52.61,58.64,1382315.2,1251772.4,11.46,-9.44
WI,Internal Medicine,297.59,322.82,62.78,68.05,1419639.0,1234355.0,8.39,-13.05
WV,Cardiology,266.83,272.24,68.58,64.79,236943.0,189147.0,-5.53,-20.17
WV,Family Practice,162.89,178.11,54.61,58.3,640032.0,609788.0,6.76,-4.73
WV,Internal Medicine,245.36,261.31,70.92,74.59,426398.5,392249.4,5.17,-8.01
WY,Cardiology,602.27,683.86,94.22,91.85,40906.0,43115.0,-2.52,5.4
WY,Family Practice,180.62,173.91,51.75,52.3,239135.0,238794.0,1.06,-0.14
WY,Internal Medicine,215.34,216.87,58.06,61.59,116764.0,122596.0,6.08,4.99
XX,Family Practice,163.96,185.97,52.38,58.36,2786.0,2873.0,11.42,3.12
XX,Internal Medicine,186.47,161.33,87.97,87.1,4277.0,5614.0,-0.99,31.26
ZZ,Cardiology,339.73,,48.24,,954.0,,,
ZZ,Family Practice,353.84,308.76,72.6,76.19,1581.0,1625.0,4.94,2.78
ZZ,Internal Medicine,300.31,477.92,90.1,87.92,2164.0,1446.0,-2.42,-33.18
